date,area_name,healthcare_type,patients
2020-04-25,London,Patients in mechanical ventilation beds,868
2020-04-25,London,Patients in Hospital,3198
2020-04-25,London,Patients admitted to Hospital,137
2020-04-25,Rest of England,Patients in mechanical ventilation beds,1537
2020-04-25,Rest of England,Patients in Hospital,11004
2020-04-25,Rest of England,Patients admitted to Hospital,943
2020-04-26,London,Patients in mechanical ventilation beds,831
2020-04-26,London,Patients in Hospital,3115
2020-04-26,London,Patients admitted to Hospital,187
2020-04-26,Rest of England,Patients in mechanical ventilation beds,1478
2020-04-26,Rest of England,Patients in Hospital,11059
2020-04-26,Rest of England,Patients admitted to Hospital,1021
2020-04-27,London,Patients in mechanical ventilation beds,800
2020-04-27,London,Patients in Hospital,3117
2020-04-27,London,Patients admitted to Hospital,261
2020-04-27,Rest of England,Patients in mechanical ventilation beds,1394
2020-04-27,Rest of England,Patients in Hospital,11138
2020-04-27,Rest of England,Patients admitted to Hospital,1083
2020-04-28,London,Patients in mechanical ventilation beds,755
2020-04-28,London,Patients in Hospital,2794
2020-04-28,London,Patients admitted to Hospital,248
2020-04-28,Rest of England,Patients in mechanical ventilation beds,1338
2020-04-28,Rest of England,Patients in Hospital,10771
2020-04-28,Rest of England,Patients admitted to Hospital,1048
2020-04-29,London,Patients in mechanical ventilation beds,733
2020-04-29,London,Patients in Hospital,2811
2020-04-29,London,Patients admitted to Hospital,212
2020-04-29,Rest of England,Patients in mechanical ventilation beds,1312
2020-04-29,Rest of England,Patients in Hospital,10413
2020-04-29,Rest of England,Patients admitted to Hospital,1083
2020-04-30,London,Patients in mechanical ventilation beds,723
2020-04-30,London,Patients in Hospital,2703
2020-04-30,London,Patients admitted to Hospital,183
2020-04-30,Rest of England,Patients in mechanical ventilation beds,1268
2020-04-30,Rest of England,Patients in Hospital,10219
2020-04-30,Rest of England,Patients admitted to Hospital,1044
2020-05-01,London,Patients in mechanical ventilation beds,712
2020-05-01,London,Patients in Hospital,2596
2020-05-01,London,Patients admitted to Hospital,201
2020-05-01,Rest of England,Patients in mechanical ventilation beds,1242
2020-05-01,Rest of England,Patients in Hospital,10027
2020-05-01,Rest of England,Patients admitted to Hospital,880
2020-05-02,London,Patients in mechanical ventilation beds,678
2020-05-02,London,Patients in Hospital,2432
2020-05-02,London,Patients admitted to Hospital,150
2020-05-02,Rest of England,Patients in mechanical ventilation beds,1166
2020-05-02,Rest of England,Patients in Hospital,9882
2020-05-02,Rest of England,Patients admitted to Hospital,830
2020-05-03,London,Patients in mechanical ventilation beds,638
2020-05-03,London,Patients in Hospital,2390
2020-05-03,London,Patients admitted to Hospital,157
2020-05-03,Rest of England,Patients in mechanical ventilation beds,1157
2020-05-03,Rest of England,Patients in Hospital,9729
2020-05-03,Rest of England,Patients admitted to Hospital,887
2020-05-04,London,Patients in mechanical ventilation beds,587
2020-05-04,London,Patients in Hospital,2328
2020-05-04,London,Patients admitted to Hospital,169
2020-05-04,Rest of England,Patients in mechanical ventilation beds,1137
2020-05-04,Rest of England,Patients in Hospital,9692
2020-05-04,Rest of England,Patients admitted to Hospital,894
2020-05-05,London,Patients in mechanical ventilation beds,565
2020-05-05,London,Patients in Hospital,2270
2020-05-05,London,Patients admitted to Hospital,178
2020-05-05,Rest of England,Patients in mechanical ventilation beds,1097
2020-05-05,Rest of England,Patients in Hospital,9484
2020-05-05,Rest of England,Patients admitted to Hospital,781
2020-05-06,London,Patients in mechanical ventilation beds,580
2020-05-06,London,Patients in Hospital,2154
2020-05-06,London,Patients admitted to Hospital,216
2020-05-06,Rest of England,Patients in mechanical ventilation beds,1030
2020-05-06,Rest of England,Patients in Hospital,9073
2020-05-06,Rest of England,Patients admitted to Hospital,824
2020-05-07,London,Patients in mechanical ventilation beds,565
2020-05-07,London,Patients in Hospital,2086
2020-05-07,London,Patients admitted to Hospital,202
2020-05-07,Rest of England,Patients in mechanical ventilation beds,928
2020-05-07,Rest of England,Patients in Hospital,8640
2020-05-07,Rest of England,Patients admitted to Hospital,796
2020-05-08,London,Patients in mechanical ventilation beds,531
2020-05-08,London,Patients in Hospital,1955
2020-05-08,London,Patients admitted to Hospital,99
2020-05-08,Rest of England,Patients in mechanical ventilation beds,915
2020-05-08,Rest of England,Patients in Hospital,8294
2020-05-08,Rest of England,Patients admitted to Hospital,644
2020-05-09,London,Patients in mechanical ventilation beds,516
2020-05-09,London,Patients in Hospital,1971
2020-05-09,London,Patients admitted to Hospital,85
2020-05-09,Rest of England,Patients in mechanical ventilation beds,882
2020-05-09,Rest of England,Patients in Hospital,8205
2020-05-09,Rest of England,Patients admitted to Hospital,713
2020-05-10,London,Patients in mechanical ventilation beds,466
2020-05-10,London,Patients in Hospital,1889
2020-05-10,London,Patients admitted to Hospital,86
2020-05-10,Rest of England,Patients in mechanical ventilation beds,896
2020-05-10,Rest of England,Patients in Hospital,8004
2020-05-10,Rest of England,Patients admitted to Hospital,670
2020-05-11,London,Patients in mechanical ventilation beds,457
2020-05-11,London,Patients in Hospital,1880
2020-05-11,London,Patients admitted to Hospital,91
2020-05-11,Rest of England,Patients in mechanical ventilation beds,859
2020-05-11,Rest of England,Patients in Hospital,8229
2020-05-11,Rest of England,Patients admitted to Hospital,775
2020-05-12,London,Patients in mechanical ventilation beds,425
2020-05-12,London,Patients in Hospital,1827
2020-05-12,London,Patients admitted to Hospital,80
2020-05-12,Rest of England,Patients in mechanical ventilation beds,822
2020-05-12,Rest of England,Patients in Hospital,7964
2020-05-12,Rest of England,Patients admitted to Hospital,764
2020-05-13,London,Patients in mechanical ventilation beds,413
2020-05-13,London,Patients in Hospital,1777
2020-05-13,London,Patients admitted to Hospital,91
2020-05-13,Rest of England,Patients in mechanical ventilation beds,785
2020-05-13,Rest of England,Patients in Hospital,7825
2020-05-13,Rest of England,Patients admitted to Hospital,713
2020-05-14,London,Patients in mechanical ventilation beds,395
2020-05-14,London,Patients in Hospital,1667
2020-05-14,London,Patients admitted to Hospital,91
2020-05-14,Rest of England,Patients in mechanical ventilation beds,767
2020-05-14,Rest of England,Patients in Hospital,7564
2020-05-14,Rest of England,Patients admitted to Hospital,672
2020-05-15,London,Patients in mechanical ventilation beds,405
2020-05-15,London,Patients in Hospital,1625
2020-05-15,London,Patients admitted to Hospital,77
2020-05-15,Rest of England,Patients in mechanical ventilation beds,795
2020-05-15,Rest of England,Patients in Hospital,7454
2020-05-15,Rest of England,Patients admitted to Hospital,661
2020-05-16,London,Patients in mechanical ventilation beds,384
2020-05-16,London,Patients in Hospital,1552
2020-05-16,London,Patients admitted to Hospital,59
2020-05-16,Rest of England,Patients in mechanical ventilation beds,717
2020-05-16,Rest of England,Patients in Hospital,7091
2020-05-16,Rest of England,Patients admitted to Hospital,612
2020-05-17,London,Patients in mechanical ventilation beds,374
2020-05-17,London,Patients in Hospital,1454
2020-05-17,London,Patients admitted to Hospital,51
2020-05-17,Rest of England,Patients in mechanical ventilation beds,690
2020-05-17,Rest of England,Patients in Hospital,7157
2020-05-17,Rest of England,Patients admitted to Hospital,622
2020-05-18,London,Patients in mechanical ventilation beds,349
2020-05-18,London,Patients in Hospital,1496
2020-05-18,London,Patients admitted to Hospital,74
2020-05-18,Rest of England,Patients in mechanical ventilation beds,661
2020-05-18,Rest of England,Patients in Hospital,7172
2020-05-18,Rest of England,Patients admitted to Hospital,659
2020-05-19,London,Patients in mechanical ventilation beds,333
2020-05-19,London,Patients in Hospital,1390
2020-05-19,London,Patients admitted to Hospital,89
2020-05-19,Rest of England,Patients in mechanical ventilation beds,643
2020-05-19,Rest of England,Patients in Hospital,7128
2020-05-19,Rest of England,Patients admitted to Hospital,663
2020-05-20,London,Patients in mechanical ventilation beds,313
2020-05-20,London,Patients in Hospital,1247
2020-05-20,London,Patients admitted to Hospital,71
2020-05-20,Rest of England,Patients in mechanical ventilation beds,608
2020-05-20,Rest of England,Patients in Hospital,6868
2020-05-20,Rest of England,Patients admitted to Hospital,661
2020-05-21,London,Patients in mechanical ventilation beds,307
2020-05-21,London,Patients in Hospital,1224
2020-05-21,London,Patients admitted to Hospital,76
2020-05-21,Rest of England,Patients in mechanical ventilation beds,587
2020-05-21,Rest of England,Patients in Hospital,6679
2020-05-21,Rest of England,Patients admitted to Hospital,639
2020-05-22,London,Patients in mechanical ventilation beds,287
2020-05-22,London,Patients in Hospital,1240
2020-05-22,London,Patients admitted to Hospital,77
2020-05-22,Rest of England,Patients in mechanical ventilation beds,565
2020-05-22,Rest of England,Patients in Hospital,6521
2020-05-22,Rest of England,Patients admitted to Hospital,561
2020-05-23,London,Patients in mechanical ventilation beds,272
2020-05-23,London,Patients in Hospital,1165
2020-05-23,London,Patients admitted to Hospital,43
2020-05-23,Rest of England,Patients in mechanical ventilation beds,543
2020-05-23,Rest of England,Patients in Hospital,6263
2020-05-23,Rest of England,Patients admitted to Hospital,461
2020-05-24,London,Patients in mechanical ventilation beds,271
2020-05-24,London,Patients in Hospital,1160
2020-05-24,London,Patients admitted to Hospital,41
2020-05-24,Rest of England,Patients in mechanical ventilation beds,515
2020-05-24,Rest of England,Patients in Hospital,6255
2020-05-24,Rest of England,Patients admitted to Hospital,456
2020-05-25,London,Patients in mechanical ventilation beds,276
2020-05-25,London,Patients in Hospital,1174
2020-05-25,London,Patients admitted to Hospital,49
2020-05-25,Rest of England,Patients in mechanical ventilation beds,495
2020-05-25,Rest of England,Patients in Hospital,6274
2020-05-25,Rest of England,Patients admitted to Hospital,449
2020-05-26,London,Patients in mechanical ventilation beds,268
2020-05-26,London,Patients in Hospital,1144
2020-05-26,London,Patients admitted to Hospital,67
2020-05-26,Rest of England,Patients in mechanical ventilation beds,488
2020-05-26,Rest of England,Patients in Hospital,6161
2020-05-26,Rest of England,Patients admitted to Hospital,511
2020-05-27,London,Patients in mechanical ventilation beds,228
2020-05-27,London,Patients in Hospital,1091
2020-05-27,London,Patients admitted to Hospital,69
2020-05-27,Rest of England,Patients in mechanical ventilation beds,468
2020-05-27,Rest of England,Patients in Hospital,5745
2020-05-27,Rest of England,Patients admitted to Hospital,520
2020-05-28,London,Patients in mechanical ventilation beds,222
2020-05-28,London,Patients in Hospital,1029
2020-05-28,London,Patients admitted to Hospital,57
2020-05-28,Rest of England,Patients in mechanical ventilation beds,441
2020-05-28,Rest of England,Patients in Hospital,5499
2020-05-28,Rest of England,Patients admitted to Hospital,513
2020-05-29,London,Patients in mechanical ventilation beds,207
2020-05-29,London,Patients in Hospital,1002
2020-05-29,London,Patients admitted to Hospital,51
2020-05-29,Rest of England,Patients in mechanical ventilation beds,423
2020-05-29,Rest of England,Patients in Hospital,5248
2020-05-29,Rest of England,Patients admitted to Hospital,448
2020-05-30,London,Patients in mechanical ventilation beds,213
2020-05-30,London,Patients in Hospital,915
2020-05-30,London,Patients admitted to Hospital,30
2020-05-30,Rest of England,Patients in mechanical ventilation beds,415
2020-05-30,Rest of England,Patients in Hospital,5057
2020-05-30,Rest of England,Patients admitted to Hospital,436
2020-05-31,London,Patients in mechanical ventilation beds,197
2020-05-31,London,Patients in Hospital,891
2020-05-31,London,Patients admitted to Hospital,42
2020-05-31,Rest of England,Patients in mechanical ventilation beds,409
2020-05-31,Rest of England,Patients in Hospital,5042
2020-05-31,Rest of England,Patients admitted to Hospital,404
2020-06-01,London,Patients in mechanical ventilation beds,170
2020-06-01,London,Patients in Hospital,862
2020-06-01,London,Patients admitted to Hospital,48
2020-06-01,Rest of England,Patients in mechanical ventilation beds,414
2020-06-01,Rest of England,Patients in Hospital,5092
2020-06-01,Rest of England,Patients admitted to Hospital,474
2020-06-02,London,Patients in mechanical ventilation beds,159
2020-06-02,London,Patients in Hospital,855
2020-06-02,London,Patients admitted to Hospital,51
2020-06-02,Rest of England,Patients in mechanical ventilation beds,394
2020-06-02,Rest of England,Patients in Hospital,4972
2020-06-02,Rest of England,Patients admitted to Hospital,502
2020-06-03,London,Patients in mechanical ventilation beds,148
2020-06-03,London,Patients in Hospital,813
2020-06-03,London,Patients admitted to Hospital,68
2020-06-03,Rest of England,Patients in mechanical ventilation beds,375
2020-06-03,Rest of England,Patients in Hospital,4787
2020-06-03,Rest of England,Patients admitted to Hospital,423
2020-06-04,London,Patients in mechanical ventilation beds,139
2020-06-04,London,Patients in Hospital,795
2020-06-04,London,Patients admitted to Hospital,58
2020-06-04,Rest of England,Patients in mechanical ventilation beds,355
2020-06-04,Rest of England,Patients in Hospital,4603
2020-06-04,Rest of England,Patients admitted to Hospital,400
2020-06-05,London,Patients in mechanical ventilation beds,137
2020-06-05,London,Patients in Hospital,783
2020-06-05,London,Patients admitted to Hospital,50
2020-06-05,Rest of England,Patients in mechanical ventilation beds,344
2020-06-05,Rest of England,Patients in Hospital,4430
2020-06-05,Rest of England,Patients admitted to Hospital,330
2020-06-06,London,Patients in mechanical ventilation beds,140
2020-06-06,London,Patients in Hospital,707
2020-06-06,London,Patients admitted to Hospital,46
2020-06-06,Rest of England,Patients in mechanical ventilation beds,333
2020-06-06,Rest of England,Patients in Hospital,4297
2020-06-06,Rest of England,Patients admitted to Hospital,260
2020-06-07,London,Patients in mechanical ventilation beds,134
2020-06-07,London,Patients in Hospital,691
2020-06-07,London,Patients admitted to Hospital,56
2020-06-07,Rest of England,Patients in mechanical ventilation beds,314
2020-06-07,Rest of England,Patients in Hospital,4129
2020-06-07,Rest of England,Patients admitted to Hospital,267
2020-06-08,London,Patients in mechanical ventilation beds,134
2020-06-08,London,Patients in Hospital,701
2020-06-08,London,Patients admitted to Hospital,69
2020-06-08,Rest of England,Patients in mechanical ventilation beds,309
2020-06-08,Rest of England,Patients in Hospital,4129
2020-06-08,Rest of England,Patients admitted to Hospital,279
2020-06-09,London,Patients in mechanical ventilation beds,129
2020-06-09,London,Patients in Hospital,707
2020-06-09,London,Patients admitted to Hospital,35
2020-06-09,Rest of England,Patients in mechanical ventilation beds,298
2020-06-09,Rest of England,Patients in Hospital,3958
2020-06-09,Rest of England,Patients admitted to Hospital,362
2020-06-10,London,Patients in mechanical ventilation beds,115
2020-06-10,London,Patients in Hospital,675
2020-06-10,London,Patients admitted to Hospital,41
2020-06-10,Rest of England,Patients in mechanical ventilation beds,269
2020-06-10,Rest of England,Patients in Hospital,3772
2020-06-10,Rest of England,Patients admitted to Hospital,361
2020-06-11,London,Patients in mechanical ventilation beds,100
2020-06-11,London,Patients in Hospital,620
2020-06-11,London,Patients admitted to Hospital,32
2020-06-11,Rest of England,Patients in mechanical ventilation beds,234
2020-06-11,Rest of England,Patients in Hospital,3559
2020-06-11,Rest of England,Patients admitted to Hospital,298
2020-06-12,London,Patients in mechanical ventilation beds,100
2020-06-12,London,Patients in Hospital,568
2020-06-12,London,Patients admitted to Hospital,30
2020-06-12,Rest of England,Patients in mechanical ventilation beds,236
2020-06-12,Rest of England,Patients in Hospital,3568
2020-06-12,Rest of England,Patients admitted to Hospital,268
2020-06-13,London,Patients in mechanical ventilation beds,100
2020-06-13,London,Patients in Hospital,540
2020-06-13,London,Patients admitted to Hospital,20
2020-06-13,Rest of England,Patients in mechanical ventilation beds,239
2020-06-13,Rest of England,Patients in Hospital,3460
2020-06-13,Rest of England,Patients admitted to Hospital,245
2020-06-14,London,Patients in mechanical ventilation beds,100
2020-06-14,London,Patients in Hospital,531
2020-06-14,London,Patients admitted to Hospital,22
2020-06-14,Rest of England,Patients in mechanical ventilation beds,243
2020-06-14,Rest of England,Patients in Hospital,3442
2020-06-14,Rest of England,Patients admitted to Hospital,284
2020-06-15,London,Patients in mechanical ventilation beds,98
2020-06-15,London,Patients in Hospital,503
2020-06-15,London,Patients admitted to Hospital,49
2020-06-15,Rest of England,Patients in mechanical ventilation beds,229
2020-06-15,Rest of England,Patients in Hospital,3417
2020-06-15,Rest of England,Patients admitted to Hospital,316
2020-06-16,London,Patients in mechanical ventilation beds,97
2020-06-16,London,Patients in Hospital,539
2020-06-16,London,Patients admitted to Hospital,56
2020-06-16,Rest of England,Patients in mechanical ventilation beds,230
2020-06-16,Rest of England,Patients in Hospital,3395
2020-06-16,Rest of England,Patients admitted to Hospital,298
2020-06-17,London,Patients in mechanical ventilation beds,84
2020-06-17,London,Patients in Hospital,508
2020-06-17,London,Patients admitted to Hospital,56
2020-06-17,Rest of England,Patients in mechanical ventilation beds,216
2020-06-17,Rest of England,Patients in Hospital,3318
2020-06-17,Rest of England,Patients admitted to Hospital,278
2020-06-18,London,Patients in mechanical ventilation beds,83
2020-06-18,London,Patients in Hospital,494
